Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications,Academic_Stream,Education_Level,Age_Group,Work_Experience_Years,Career_Break,Career_Break_Months,Preferred_Work_Mode,Location_Preference,Family_Support_Score,English_Proficiency,Entrepreneurship_Interest,Risk_Tolerance,Leadership_Readiness,Certifications_Interest,Work_Life_Balance_Priority,Salary_Expectation_Lakh,Industry_Preference,Public_Speaking_Confidence,Conflict_Resolution_Skills,Stress_Management_Skills,Adaptability_Score,Mentoring_Experience,Innovation_Interest,Customer_Focus,Data_Driven_Thinking,Continuous_Learning,Career_Goal_Clarity,Willing_To_Relocate,Prefer_Corporate,Domain_Expertise_Depth,Current_Role_Success,Success_Percentage
Biology,Analytical Chemist,2.878498258050343,6,2,1,0,3,1,0,4,1,0,1,0,3,1,Science,Bachelors,18-24,3,0,0,Hybrid,Tier2_City,3,2,0,2,5,1,4,41.94,Finance,5,5,4,3,3,2,4,2,1,2,0,1,3,2,36.63
Medicine,Illustrator,4.419582883962078,8,2,0,0,7,1,1,4,2,0,1,2,1,1,Science,Masters,40+,13,0,0,Flexible,Tier2_City,5,4,1,4,1,3,1,14.62,Manufacturing,2,3,3,5,4,3,4,4,2,4,0,0,3,3,57.95
Music,Web Developer,3.6660943730625073,5,0,0,1,8,0,1,1,2,3,0,3,1,0,Arts,High School,25-30,0,0,0,Hybrid,Any,3,4,5,4,2,0,5,27.64,Tech,4,4,4,4,4,5,3,4,4,3,0,0,4,5,38.26
Computer Science,Art Therapist,2.5841469169994107,0,2,4,1,6,1,3,2,1,0,2,2,4,1,Science,Masters,25-30,4,0,0,Remote,Tier3_City,1,2,5,3,2,0,4,31.01,Other,2,1,2,3,5,1,2,1,3,5,0,1,4,4,52.12
Chemistry,Counselor,3.409774458210828,7,1,1,1,5,1,0,0,1,2,0,2,2,0,Science,Bachelors,31-35,9,1,55,Hybrid,Tier1_City,1,1,3,4,0,4,1,20.04,Tech,2,5,2,2,2,5,1,5,1,1,1,0,2,4,32.22
Chemistry,Nurse,4.997478345619685,2,0,4,0,5,1,0,0,2,3,1,4,0,0,Science,Bachelors,25-30,6,0,0,Flexible,Tier2_City,2,5,3,4,1,2,4,34.2,Education,1,2,5,4,4,4,5,1,5,2,1,0,4,5,51.15
Marketing,Chemical Engineer,3.2274262997873766,1,1,4,1,1,0,4,2,0,1,1,4,2,1,Commerce,PhD,36-40,0,0,0,Remote,Tier1_City,1,4,4,1,5,5,1,14.76,Tech,5,1,4,4,2,3,3,4,4,2,0,0,5,2,52.3
Architecture,Marketing Manager,3.038927520900584,5,1,1,1,5,1,1,2,2,3,1,2,0,0,Interdisciplinary,PhD,25-30,3,0,0,Remote,Tier3_City,3,2,5,3,0,5,4,4.63,Finance,3,4,4,5,0,4,3,3,1,3,1,0,1,2,45.49
Psychology,Teacher,4.566338664638026,1,0,4,0,0,0,4,0,4,1,4,0,2,0,Arts,Masters,31-35,5,0,0,Hybrid,Tier3_City,2,4,4,5,4,5,2,48.09,Healthcare,5,5,2,3,1,5,5,1,5,3,1,0,1,3,61.94
Art,Doctor,3.19249995864387,5,0,2,0,6,1,2,3,4,0,2,3,3,1,Arts,Bachelors,18-24,10,1,42,Office,Any,2,2,1,3,2,0,3,18.04,Manufacturing,4,4,2,4,5,2,3,5,4,5,0,1,5,2,65.05
Engineering,Paralegal,2.9207042900764284,1,2,4,0,4,1,1,3,4,1,2,3,0,1,Science,Bachelors,36-40,11,1,39,Hybrid,Tier2_City,2,4,5,5,3,1,4,36.53,Healthcare,5,1,1,1,2,0,1,1,1,5,1,1,1,1,58.7
Music,Art Director,3.78292121385146,6,1,3,0,8,1,2,1,2,4,4,1,2,0,Arts,Masters,31-35,8,0,0,Remote,Tier2_City,3,5,4,1,0,4,5,26.85,Tech,5,5,1,4,1,5,2,2,5,2,0,0,3,3,60.84
Law,Psychologist,4.581031654142441,9,0,0,0,9,0,0,1,2,4,3,3,0,0,Arts,Bachelors,18-24,10,1,51,Hybrid,Tier2_City,2,4,1,2,4,2,3,34.44,Other,4,1,5,4,2,5,4,5,1,4,0,0,2,2,60.76
Law,Data Scientist,3.452044937923984,5,2,3,0,3,0,3,2,0,3,0,1,0,1,Arts,Bachelors,18-24,7,1,23,Remote,Tier2_City,4,1,2,4,2,5,3,8.21,Other,5,4,2,4,2,1,3,2,3,1,0,0,3,5,41.89
Physics,Software Developer,3.038082477030586,7,1,3,0,5,1,1,3,4,1,0,4,4,1,Science,Bachelors,25-30,1,0,0,Remote,Tier1_City,4,3,4,1,5,4,1,27.39,Finance,3,5,5,3,3,5,1,3,3,1,0,0,3,4,46.24
Marketing,Graphic Designer,3.3871950610516777,3,0,2,0,1,0,3,3,2,0,2,4,1,0,Commerce,High School,40+,10,1,49,Hybrid,Tier3_City,3,2,4,4,1,0,4,21.43,Healthcare,2,5,4,5,2,0,3,4,5,2,1,0,5,4,60.94
Marketing,Urban Planner,4.033337379126986,2,0,4,1,5,0,1,2,1,2,3,3,3,1,Commerce,PhD,25-30,2,0,0,Hybrid,Tier1_City,5,3,3,2,2,5,3,24.24,Manufacturing,3,5,4,5,4,2,1,2,3,3,0,1,5,2,55.08
Architecture,Investment Banker,2.790305704303844,3,0,3,1,3,1,3,2,3,2,2,2,2,1,Interdisciplinary,Bachelors,25-30,9,0,0,Hybrid,Tier1_City,5,5,1,2,1,2,5,48.41,Education,2,4,2,1,4,2,3,2,3,2,1,1,2,2,51.15
Education,Curriculum Developer,3.0508604172686944,3,2,1,0,7,0,2,4,0,4,2,0,3,0,Arts,Masters,18-24,12,0,0,Remote,Tier3_City,2,5,3,1,1,3,5,9.41,Healthcare,2,3,3,1,2,4,1,4,4,2,0,0,5,4,59.8
Medicine,Microbiologist,4.690325622614975,6,2,1,0,5,0,4,2,1,4,2,0,0,1,Science,Bachelors,25-30,4,1,34,Hybrid,Any,3,3,4,2,5,2,5,38.47,Other,5,4,5,4,5,0,4,3,2,1,1,0,1,3,49.23
Chemistry,Surgeon,3.1417042275029963,8,2,3,0,0,0,3,1,3,3,0,3,4,0,Science,Bachelors,25-30,10,0,0,Office,Tier2_City,2,5,5,5,5,1,1,18.53,Education,2,2,3,4,5,0,1,4,3,2,0,1,1,4,59.96
Music,Interior Designer,4.179276864405921,7,1,3,1,8,0,1,3,2,2,4,3,1,0,Arts,Bachelors,40+,6,0,0,Hybrid,Tier3_City,2,5,2,2,0,5,2,16.65,Other,4,3,4,4,5,1,5,2,5,2,0,0,1,1,58.14
Chemistry,Education Administrator,4.212333987547685,0,1,4,1,9,1,4,1,3,3,0,0,3,1,Science,Bachelors,25-30,2,0,0,Hybrid,Tier3_City,4,2,0,4,0,5,4,15.73,Tech,3,4,5,1,0,3,3,1,4,3,0,1,1,3,41.2
Computer Science,Data Scientist,3.621420878875026,0,0,0,1,5,0,2,1,4,3,0,2,4,0,Science,PhD,36-40,11,0,0,Remote,Tier1_City,1,2,1,4,2,3,3,19.39,Tech,2,2,4,5,4,2,4,2,5,4,0,1,5,4,71.95
Business,Mechanical Engineer,2.759921182051804,1,1,2,0,4,0,0,0,0,3,2,4,4,1,Commerce,Masters,25-30,6,1,12,Remote,Tier1_City,3,2,1,4,5,3,4,19.78,Manufacturing,5,1,1,1,1,4,3,4,3,1,1,1,3,5,47.36
Physics,Urban Planner,3.74708005223676,7,2,2,1,2,0,3,1,1,1,3,1,4,1,Science,PhD,18-24,4,0,0,Flexible,Any,1,1,2,4,4,5,3,15.73,Education,5,2,2,5,0,5,1,5,1,4,0,1,1,3,57.95
Education,Biochemist,3.500019315410001,4,2,4,1,8,1,2,0,1,4,2,0,2,0,Arts,Masters,25-30,9,0,0,Hybrid,Any,4,1,2,5,2,1,1,34.37,Education,5,5,1,1,1,1,3,5,1,3,1,1,2,2,51.6
Engineering,Nuclear Physicist,2.929644640829822,0,0,2,1,3,1,2,1,4,1,0,3,1,0,Science,Masters,25-30,5,0,0,Hybrid,Tier2_City,1,1,1,3,3,3,4,5.24,Manufacturing,1,3,5,5,2,5,2,4,3,5,0,1,4,5,57.42
Medicine,Market Research Analyst,2.8670739690819045,6,2,2,1,6,0,1,4,2,1,4,2,3,0,Science,PhD,40+,5,0,0,Flexible,Tier1_City,4,1,1,1,1,0,1,18.62,Other,3,4,1,1,2,0,1,5,1,2,0,0,3,3,51.77
Biology,Aerospace Engineer,3.8951305108248526,9,0,3,1,8,1,2,3,1,1,2,0,4,1,Science,Bachelors,36-40,10,0,0,Office,Any,5,3,2,4,1,5,1,16.17,Healthcare,5,4,5,5,2,4,1,4,2,4,1,1,1,3,56.14
Chemistry,Microbiologist,3.8695643464862863,6,1,4,1,8,0,3,4,4,2,3,1,3,0,Science,Bachelors,18-24,10,0,0,Office,Tier3_City,4,2,5,2,0,2,4,38.32,Manufacturing,4,5,3,3,4,2,3,1,5,2,0,1,5,3,62.54
Finance,Game Developer,3.752472237757201,1,2,1,1,0,1,3,0,3,0,4,2,0,1,Commerce,High School,18-24,13,0,0,Office,Tier1_City,3,5,2,4,4,2,4,9.89,Tech,5,3,2,3,5,2,4,4,2,2,0,0,3,3,51.03
Law,Conductor,3.5092061094428795,6,1,2,1,6,1,1,1,3,0,1,4,4,1,Arts,Bachelors,18-24,11,0,0,Remote,Tier1_City,5,4,2,2,5,1,3,47.21,Education,1,3,3,2,0,3,5,1,4,1,1,0,1,2,55.8
Art,Game Developer,4.543993395432022,3,0,0,1,5,0,1,0,0,2,0,2,1,0,Arts,Bachelors,36-40,3,0,0,Flexible,Any,2,1,4,2,5,0,5,11.01,Finance,3,5,4,5,1,0,4,5,3,4,1,1,5,1,43.04
Medicine,Animator,4.868112458444806,4,0,0,1,1,1,0,0,0,3,2,1,1,1,Science,Bachelors,36-40,11,0,0,Flexible,Tier1_City,3,5,5,4,0,3,1,20.39,Other,2,3,2,5,3,2,5,3,5,5,1,0,2,2,53.17
Law,Sound Engineer,3.5918948428140984,4,2,4,1,0,1,3,3,2,1,4,2,0,1,Arts,Masters,31-35,7,1,14,Remote,Tier1_City,3,2,1,5,3,5,2,12.39,Finance,3,5,1,5,5,4,2,5,3,1,1,1,2,5,60.46
Psychology,Financial Advisor,3.561989740642229,5,1,1,1,1,1,0,0,2,3,1,0,3,0,Arts,Bachelors,25-30,8,0,0,Office,Tier2_City,3,3,1,2,2,2,3,16.47,Tech,2,2,5,2,0,4,5,4,3,2,1,1,4,1,44.78
Education,Curriculum Developer,3.4823549430047414,7,1,4,1,7,1,0,0,2,1,2,4,3,1,Arts,Bachelors,25-30,1,1,48,Hybrid,Tier1_City,1,5,2,2,2,2,3,38.77,Education,2,5,2,1,1,4,4,5,2,4,1,1,4,5,35.01
Law,Landscape Architect,3.062612942473321,0,0,3,0,6,1,0,2,0,0,1,1,3,1,Arts,Bachelors,25-30,8,0,0,Office,Tier1_City,1,4,3,4,4,2,5,25.39,Education,5,4,4,3,3,0,5,3,1,4,0,0,4,1,39.33
Marketing,Manager,4.385635955324699,8,0,3,1,2,0,2,4,2,1,2,4,3,0,Commerce,Bachelors,25-30,10,0,0,Remote,Tier1_City,2,5,0,2,0,2,5,10.64,Manufacturing,4,1,3,2,0,0,5,5,1,1,1,0,1,1,52.43
Marketing,Accountant,2.572426267357782,0,0,4,1,4,0,2,3,0,0,2,0,0,0,Commerce,Masters,25-30,11,0,0,Hybrid,Tier1_City,1,2,1,2,0,4,1,5.19,Healthcare,4,2,4,3,0,2,2,3,5,5,0,1,2,1,58.95
Physics,Ecologist,3.0655981145157054,7,0,3,0,7,0,1,3,4,1,3,1,2,0,Science,Bachelors,18-24,3,0,0,Remote,Tier3_City,3,5,4,4,3,1,3,13.81,Manufacturing,5,4,1,4,5,3,5,2,5,1,1,1,1,3,52.24
Chemistry,Legal Analyst,3.926535042580322,0,2,1,1,5,1,2,3,4,3,0,0,1,0,Science,PhD,18-24,5,0,0,Hybrid,Tier2_City,4,3,0,4,2,3,3,47.44,Finance,1,2,5,2,2,3,3,4,5,5,0,0,1,4,64.64
Music,Organic Chemist,3.048544481664348,9,0,1,0,1,0,0,4,4,0,0,4,0,0,Arts,Masters,36-40,13,1,46,Remote,Tier1_City,2,2,3,1,0,5,2,42.73,Education,2,4,5,2,5,3,2,4,4,1,1,0,2,1,53.04
Finance,Web Developer,3.3873579653113475,0,1,3,1,4,1,2,0,3,3,2,1,1,0,Commerce,Bachelors,31-35,6,0,0,Hybrid,Tier1_City,2,1,5,5,5,5,1,23.69,Healthcare,4,3,1,3,0,1,2,3,1,4,1,1,2,3,49.38
Marketing,Industrial-Organizational Psychologist,4.647235248464243,3,2,3,0,3,0,2,2,3,4,1,4,0,0,Commerce,High School,25-30,3,0,0,Office,Tier1_City,3,2,4,5,4,5,1,25.65,Manufacturing,3,5,5,5,5,5,3,1,4,2,1,1,4,3,53.21
Chemistry,Interior Designer,2.520192130328506,1,1,0,0,7,0,3,1,1,1,3,4,4,0,Science,Masters,25-30,7,0,0,Flexible,Tier1_City,5,5,2,2,2,3,5,45.27,Healthcare,1,4,2,4,5,0,2,3,5,5,0,1,3,1,67.72
Physics,Aerospace Engineer,4.675831753841454,2,2,4,1,3,0,4,0,0,3,1,4,0,1,Science,Masters,25-30,12,1,47,Remote,Tier3_City,1,4,3,5,3,1,1,30.79,Other,5,4,2,3,5,0,2,2,2,4,0,1,5,4,58.42
Art,Conductor,3.4753446162259887,1,0,0,1,2,0,2,4,1,2,3,0,0,0,Arts,Masters,31-35,13,1,25,Flexible,Tier1_City,5,2,2,2,4,0,2,44.4,Other,1,3,1,2,1,2,4,4,5,5,0,0,4,3,69.72
Chemistry,Web Developer,4.215755640189045,1,0,2,0,7,0,2,3,4,3,4,2,3,1,Science,Masters,31-35,9,0,0,Hybrid,Tier2_City,3,2,4,1,1,1,1,26.12,Finance,4,1,1,5,2,5,4,4,2,5,1,1,2,4,73.93
Medicine,AI Researcher,3.748473690096581,9,2,0,0,5,1,1,0,0,2,0,4,4,0,Science,Bachelors,31-35,7,0,0,Office,Tier3_City,5,2,4,4,5,2,4,12.4,Healthcare,5,1,4,4,0,4,1,5,1,5,0,0,4,5,48.36
Art,Aerospace Engineer,4.647663156368122,6,0,0,0,8,0,1,0,2,2,4,0,1,1,Arts,Bachelors,31-35,0,0,0,Hybrid,Tier1_City,3,2,2,4,3,2,4,37.12,Other,4,5,5,5,2,0,1,3,3,1,1,0,5,1,34.83
Education,Psychologist,3.889936345687226,6,1,0,0,7,0,3,4,0,4,2,0,3,1,Arts,Bachelors,18-24,7,1,26,Flexible,Tier1_City,1,5,0,4,4,1,2,27.74,Education,2,3,3,3,3,3,2,2,3,5,0,1,4,4,59.27
Chemistry,Marketing Specialist,2.8090174336257374,9,0,2,0,4,0,1,2,3,4,1,0,1,0,Science,Masters,25-30,9,1,10,Office,Any,1,1,1,5,0,1,5,34.42,Other,1,2,1,5,1,1,2,5,5,2,1,1,1,5,56.85
Psychology,Risk Analyst,3.969376352477013,0,0,3,1,2,0,0,0,3,2,0,1,3,0,Arts,Masters,25-30,13,1,9,Hybrid,Any,2,4,1,1,1,3,3,10.39,Healthcare,2,4,4,2,3,4,3,1,1,5,0,1,3,1,49.72
Law,Music Therapist,2.8915102368398724,3,0,2,1,6,0,3,0,1,1,0,4,3,1,Arts,Bachelors,25-30,11,0,0,Hybrid,Any,5,2,5,5,3,3,1,33.44,Healthcare,3,5,1,2,1,4,3,5,2,1,1,1,2,3,47.84
Law,Interior Designer,3.138968178304591,0,1,1,0,4,0,1,1,2,2,0,0,3,0,Arts,Bachelors,31-35,2,0,0,Flexible,Tier2_City,5,4,4,5,0,4,5,20.97,Manufacturing,2,1,1,1,4,1,2,2,3,5,1,0,2,1,34.04
Finance,Judge,2.5381646499431385,9,1,1,0,3,0,3,3,2,1,3,1,2,1,Commerce,Bachelors,25-30,4,1,12,Office,Any,5,5,3,1,5,5,5,18.6,Healthcare,1,2,2,4,3,1,5,3,3,1,1,0,4,5,49.13
Medicine,Art Therapist,3.047476225015817,6,1,4,0,3,1,0,3,2,4,3,3,0,0,Science,Bachelors,18-24,13,1,42,Hybrid,Tier3_City,5,1,2,1,1,4,1,34.56,Healthcare,3,3,5,3,4,0,4,1,1,4,1,0,4,2,55.53
Engineering,Teacher,3.2267695431117165,5,0,1,1,1,1,0,1,1,0,2,2,1,0,Science,Masters,25-30,9,1,47,Remote,Tier2_City,4,2,3,1,2,5,3,30.84,Finance,4,4,1,5,5,1,5,4,2,2,0,0,2,2,47.86
Medicine,Entrepreneur,4.4096604694609045,2,1,4,0,9,0,3,0,2,3,1,3,4,1,Science,Masters,40+,7,0,0,Office,Tier2_City,2,1,2,1,0,2,1,33.51,Healthcare,3,4,5,2,2,2,4,5,3,1,1,1,2,1,47.15
Computer Science,Art Therapist,3.528697356766357,2,0,0,0,0,0,4,2,2,4,4,3,3,0,Science,Masters,18-24,10,0,0,Flexible,Tier1_City,2,2,3,4,4,4,3,48.37,Manufacturing,1,1,4,1,3,4,2,2,1,3,1,1,2,3,65.8
Marketing,Physicist,4.407120397209464,9,1,2,1,5,1,1,3,3,4,2,2,0,1,Commerce,Bachelors,31-35,5,0,0,Remote,Tier2_City,4,2,5,3,3,4,2,35.96,Manufacturing,5,1,1,3,0,4,4,3,1,3,1,1,3,2,48.06
Law,Chemist,4.87526061928022,5,1,0,0,2,0,3,2,0,1,4,1,3,1,Arts,Bachelors,25-30,3,1,11,Flexible,Tier1_City,5,3,2,3,1,0,3,33.12,Education,3,5,3,2,5,3,1,5,4,4,0,1,3,5,47.14
Architecture,Art Director,4.803756541848001,3,0,4,0,0,0,1,2,1,1,2,3,3,0,Interdisciplinary,Masters,18-24,14,0,0,Remote,Tier1_City,4,4,4,1,0,1,5,31.84,Other,4,4,2,3,1,0,2,2,1,5,0,0,5,3,55.25
Architecture,Lawyer,3.977176081351389,4,2,2,0,1,0,3,0,2,0,0,0,3,0,Interdisciplinary,Masters,25-30,3,0,0,Flexible,Tier1_City,5,1,0,3,2,3,2,21.74,Finance,3,4,3,2,0,3,2,1,3,2,0,1,5,3,38.61
Engineering,Inorganic Chemist,4.054943922412952,0,0,3,0,3,0,0,3,4,3,0,3,3,1,Science,Masters,31-35,11,0,0,Office,Tier1_City,4,4,1,3,3,4,4,42.44,Tech,2,4,2,3,0,0,2,5,2,4,1,1,4,5,63.71
Finance,Brand Manager,3.086418262922494,8,0,1,0,4,0,1,3,4,0,3,2,1,1,Commerce,Masters,25-30,3,0,0,Hybrid,Tier2_City,2,4,3,1,3,3,2,20.9,Education,5,4,1,2,5,0,3,5,1,5,0,1,1,4,49.96
Business,Nuclear Physicist,2.766411210226466,3,1,3,1,7,0,0,4,2,2,0,2,1,0,Commerce,Bachelors,36-40,5,0,0,Hybrid,Tier2_City,4,4,5,3,0,5,3,35.91,Healthcare,1,2,1,5,2,5,2,3,3,4,1,0,5,3,49.55
Marketing,Artist,2.767842218069962,2,2,0,1,6,1,2,0,3,0,1,0,1,0,Commerce,Bachelors,25-30,6,0,0,Hybrid,Tier1_City,3,1,1,5,2,4,2,16.78,Other,5,3,5,4,2,5,2,2,4,5,0,0,3,2,51.7
Marketing,Acoustics Specialist,3.93042065815363,1,0,3,1,2,0,0,1,1,3,1,1,3,1,Commerce,Bachelors,18-24,12,0,0,Hybrid,Tier3_City,5,2,3,2,5,5,2,9.94,Finance,2,2,2,2,0,0,2,2,2,5,1,0,3,3,50.73
Computer Science,Interior Designer,3.272845118630083,6,2,1,0,0,0,3,0,0,2,0,3,4,1,Science,High School,36-40,4,1,6,Flexible,Tier2_City,4,2,4,2,5,4,4,9.1,Education,5,3,4,3,5,2,5,4,5,3,1,0,4,1,44.28
